name,symbol,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,timestamp,EMA,RSI,MACD
Bitcoin,BTC,19569693.0,19569693.0,21000000.0,2010-07-13T00:00:00.000Z,10637,1,43112.9871304296,25840304901.984978,9.4385,-0.3806305,4.6855566,-0.65327713,18.56770864,60.62263057,63.48849996,843707922455.4581,51.9732,905372729739.02,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,42890.136137166315,61.83900512593882,86.95754247955483
Ethereum,ETH,120209039.96368828,120209039.96368828,,2015-08-07T00:00:00.000Z,8042,2,2302.5440619080127,12498912946.799671,3.2489,-0.23172474,5.56421067,2.07601345,13.31851393,48.20308308,42.10733847,276786611156.05347,17.0565,276786611156.05,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,2272.150423545612,74.40344118370912,12.370884087135892
Tether USDt,USDT,90659011200.68228,93609080552.55766,,2015-02-25T00:00:00.000Z,68153,3,1.000275358708543,50735309321.83774,3.4409,0.02273026,0.07822903,-0.00122692,-0.01189096,0.01730797,0.01275455,90683974948.92429,5.5862,93634856628.09,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,1.000240521241441,52.66169799619654,-8.973447460647321e-06
BNB,BNB,151696019.57775348,151696019.57775348,,2017-07-25T00:00:00.000Z,1846,4,252.12038983309336,875959199.562352,-34.6787,-0.05534669,0.88913037,9.10547563,3.50101209,21.89494482,18.94043906,38245659592.07177,2.3565,38245659592.07,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,251.08815978782016,54.256800534036906,0.3292656634719151
XRP,XRP,53957460981.0,99988170772.0,100000000000.0,2013-08-04T00:00:00.000Z,1172,5,0.6319733480891593,1404673759.8284009,-4.4655,-0.31504755,4.42681068,-0.41809538,-3.10725833,29.82710546,28.27499892,34099677270.552746,2.1013,63197334808.92,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.6273446428744893,64.43009709176408,0.0018284405314800134
Solana,SOL,427431029.00291663,564702451.0511297,,2020-04-10T00:00:00.000Z,559,6,72.99274175940465,2245545843.8961816,-3.7922,-0.4121681,10.18372774,13.32769405,37.75285052,234.44375169,285.89577627,31199362719.966496,1.9219,41219180180.48,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,71.30083749240974,73.65276640132376,0.718964806654796
USDC,USDC,24441354455.37876,24441354455.37876,,2018-10-08T00:00:00.000Z,15534,7,1.000181636570492,6381649379.566001,1.3103,0.01985582,0.00711536,0.00420227,0.0077426,0.00440854,0.00808939,24445793899.18021,1.5058,24445793899.18,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,1.0001159554725942,52.635342014582314,-5.168919081643963e-07
Cardano,ADA,35329835380.821,36439975031.087,45000000000.0,2017-10-01T00:00:00.000Z,1004,8,0.6538393536656815,2048640265.4072275,93.1479,-0.51473948,12.67209627,49.41371979,82.29341016,165.25151917,162.69382372,23100036730.51093,1.423,29422770914.96,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.6562565846517151,45.9585725899316,-0.00227145457090705
Avalanche,AVAX,366207837.2222305,434240747.2222305,720000000.0,2020-07-13T00:00:00.000Z,594,9,38.91936919320448,2331915631.49562,18.4087,-1.37889031,5.23745704,45.09096434,132.62412767,326.89661363,319.15611268,14252578018.29692,0.8781,28021945819.11,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,38.732822576692854,50.967902587072636,0.05396035011406752
Dogecoin,DOGE,142229716383.70523,142229716383.70523,,2013-12-15T00:00:00.000Z,843,10,0.0973173921069664,730284993.3463672,-16.5655,-0.35948193,4.97167127,2.32723432,32.45480537,64.37899818,57.74017911,13841425078.575668,0.853,13841425078.58,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.09653689570337064,62.264788415802016,0.0003474453754104406
TRON,TRX,88432469882.3024,88432535749.40233,,2017-09-13T00:00:00.000Z,887,11,0.1054383631934541,240479822.3310049,-7.4221,-0.02414722,2.22260516,1.87826643,0.26905112,23.3184111,25.9660729,9324174877.544395,0.5744,9324181822.46,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.10457238329508403,87.16708456352575,0.0003425915099847521
